provincia;segmento_renta;tipo_combustible;n_vehiculos;pct_del_segmento
41;Alta;GASOLINA;16800;53,69
41;Alta;GLP;329;1,05
41;Alta;GNC;16;0,05
41;Alta;HIDROGENO;1;0,0
46;Muy baja;DESCONOCIDO;4;0,01
46;Muy baja;DIESEL;14414;40,52
46;Muy baja;ELECTRICO;676;1,9
46;Muy baja;GASOLINA;19644;55,22
46;Muy baja;GLP;815;2,29
46;Muy baja;GNC;23;0,06
46;Baja;BIODIESEL;2;0,0
46;Baja;BIOMETANO;2;0,0
46;Baja;DESCONOCIDO;4;0,0
46;Baja;DIESEL;74267;38,67
46;Baja;ELECTRICO;4471;2,33
46;Baja;GASOLINA;109704;57,12
46;Baja;GLP;3523;1,83
46;Baja;GNC;99;0,05
46;Baja;GNL;2;0,0
46;Baja;HIDROGENO;1;0,0
46;Media;DESCONOCIDO;1;0,0
46;Media;DIESEL;54795;39,62
46;Media;ELECTRICO;4076;2,95
46;Media;ETANOL;1;0,0
46;Media;GASOLINA;76815;55,54
46;Media;GLP;2522;1,82
46;Media;GNC;103;0,07
46;Media;GNL;1;0,0
46;Media;HIDROGENO;1;0,0
46;Alta;BIODIESEL;1;0,0
46;Alta;BIOMETANO;1;0,0
46;Alta;BUTANO;2;0,0
46;Alta;DESCONOCIDO;7;0,0
46;Alta;DIESEL;83372;36,48
46;Alta;ELECTRICO;5428;2,38
46;Alta;ETANOL;1;0,0
46;Alta;GASOLINA;135595;59,34
46;Alta;GLP;3891;1,7
46;Alta;GNC;206;0,09
46;Alta;GNL;4;0,0
46;Alta;HIDROGENO;5;0,0
46;Muy alta;BIODIESEL;1;0,0
46;Muy alta;DESCONOCIDO;3;0,01
46;Muy alta;DIESEL;12746;38,46
46;Muy alta;ELECTRICO;1645;4,96
46;Muy alta;GASOLINA;18283;55,17
46;Muy alta;GLP;447;1,35
46;Muy alta;GNC;17;0,05
